"TeamA","TeamB","rand","nameA","nameB"
1153,1393,0.79306,"Cincinnati","Syracuse"
1155,1393,0.38208,"Clemson","Syracuse"
1199,1393,0.88087,"Florida St","Syracuse"
1243,1393,0.37101,"Kansas St","Syracuse"
1267,1393,0.66921,"Marshall","Syracuse"
1277,1393,0.56964,"Michigan St","Syracuse"
1305,1393,0.80782,"Nevada","Syracuse"
1314,1393,0.60456,"North Carolina","Syracuse"
1345,1393,0.40221,"Purdue","Syracuse"
1401,1393,0.2449,"Texas A&M","Syracuse"
1420,1393,0.2826,"UMBC","Syracuse"
1452,1393,0.04077,"West Virginia","Syracuse"
1462,1393,0.04185,"Xavier","Syracuse"
1254,1393,0.20229,"Long Island","Syracuse"
1417,1393,0.74332,"UCLA","Syracuse"
1113,1393,0.95104,"Arizona St","Syracuse"
1300,1393,0.58935,"NC Central","Syracuse"
1439,1393,0.95822,"Virginia Tech","Syracuse"
1112,1393,0.70154,"Arizona","Syracuse"
1233,1393,0.37778,"Iona","Syracuse"
1422,1393,0.65562,"UNC Greensboro","Syracuse"
1361,1393,0.25246,"San Diego St","Syracuse"
1335,1393,0.63324,"Penn","Syracuse"
1172,1393,0.8696,"Davidson","Syracuse"
1274,1393,0.79782,"Miami FL","Syracuse"
1285,1393,0.48817,"Montana","Syracuse"
1355,1393,0.77332,"S Dakota St","Syracuse"
1328,1393,0.11706,"Oklahoma","Syracuse"
1301,1393,0.97352,"NC State","Syracuse"
1460,1393,0.65555,"Wright St","Syracuse"
1372,1393,0.91065,"SF Austin","Syracuse"
1158,1393,0.65618,"Col Charleston","Syracuse"
1116,1393,0.57079,"Arkansas","Syracuse"
1209,1393,0.54038,"Georgia St","Syracuse"
1308,1393,0.23843,"New Mexico St","Syracuse"
1281,1393,0.62395,"Missouri","Syracuse"
1166,1393,0.49802,"Creighton","Syracuse"
1455,1393,0.67182,"Wichita St","Syracuse"
1137,1393,0.41372,"Bucknell","Syracuse"
1400,1393,0.7012,"Texas","Syracuse"
1252,1393,0.20859,"Lipscomb","Syracuse"
1168,1393,0.94485,"CS Fullerton","Syracuse"
1395,1393,0.32559,"TCU","Syracuse"
1344,1393,0.58478,"Providence","Syracuse"
1438,1393,0.79111,"Virginia","Syracuse"
1293,1393,0.59785,"Murray St","Syracuse"
1347,1411,0.92882,"Radford","TX Southern"
1382,1411,0.77303,"St Bonaventure","TX Southern"
1393,1411,0.46227,"Syracuse","TX Southern"
1104,1411,0.49874,"Alabama","TX Southern"
1138,1411,0.96618,"Buffalo","TX Southern"
1181,1411,0.59749,"Duke","TX Southern"
1196,1411,0.08423,"Florida","TX Southern"
1211,1411,0.69124,"Gonzaga","TX Southern"
1222,1411,0.511,"Houston","TX Southern"
1242,1411,0.43056,"Kansas","TX Southern"
1246,1411,0.02836,"Kentucky","TX Southern"
1260,1411,0.05172,"Loyola-Chicago","TX Southern"
1276,1411,0.51763,"Michigan","TX Southern"
1326,1411,0.65775,"Ohio St","TX Southern"
1348,1411,0.90987,"Rhode Island","TX Southern"
1371,1411,0.7477,"Seton Hall","TX Southern"
1397,1411,0.1704,"Tennessee","TX Southern"
1403,1411,0.90264,"Texas Tech","TX Southern"
1437,1411,0.40554,"Villanova","TX Southern"
1120,1411,0.80085,"Auburn","TX Southern"
1139,1411,0.71814,"Butler","TX Southern"
1153,1411,0.33214,"Cincinnati","TX Southern"
1155,1411,0.77928,"Clemson","TX Southern"
1199,1411,0.07954,"Florida St","TX Southern"
1243,1411,0.17109,"Kansas St","TX Southern"
1267,1411,0.9848,"Marshall","TX Southern"
1277,1411,0.63245,"Michigan St","TX Southern"
1305,1411,0.46929,"Nevada","TX Southern"
1314,1411,0.85195,"North Carolina","TX Southern"
1345,1411,0.54727,"Purdue","TX Southern"
1401,1411,0.12928,"Texas A&M","TX Southern"
1420,1411,0.78345,"UMBC","TX Southern"
1452,1411,0.2431,"West Virginia","TX Southern"
1462,1411,0.68131,"Xavier","TX Southern"
1254,1411,0.01478,"Long Island","TX Southern"
1417,1411,0.16916,"UCLA","TX Southern"
1113,1411,0.8835,"Arizona St","TX Southern"
1300,1411,0.00145,"NC Central","TX Southern"
1439,1411,0.51552,"Virginia Tech","TX Southern"
1112,1411,0.47364,"Arizona","TX Southern"
1233,1411,0.87669,"Iona","TX Southern"
1422,1411,0.26739,"UNC Greensboro","TX Southern"
1361,1411,0.80859,"San Diego St","TX Southern"
1335,1411,0.9279,"Penn","TX Southern"
1172,1411,0.10651,"Davidson","TX Southern"
1274,1411,0.65904,"Miami FL","TX Southern"
1285,1411,0.59526,"Montana","TX Southern"
1355,1411,0.91657,"S Dakota St","TX Southern"
1328,1411,0.50538,"Oklahoma","TX Southern"
1301,1411,0.81463,"NC State","TX Southern"
1460,1411,0.80916,"Wright St","TX Southern"
1372,1411,0.9011,"SF Austin","TX Southern"
1158,1411,0.61901,"Col Charleston","TX Southern"
1116,1411,0.21772,"Arkansas","TX Southern"
1209,1411,0.55465,"Georgia St","TX Southern"
1308,1411,0.30236,"New Mexico St","TX Southern"
1281,1411,0.34204,"Missouri","TX Southern"
1166,1411,0.34643,"Creighton","TX Southern"
1455,1411,0.47266,"Wichita St","TX Southern"
1137,1411,0.61417,"Bucknell","TX Southern"
1400,1411,0.12752,"Texas","TX Southern"
1252,1411,0.375,"Lipscomb","TX Southern"
1168,1411,0.42035,"CS Fullerton","TX Southern"
1395,1411,0.08782,"TCU","TX Southern"
1344,1411,0.24192,"Providence","TX Southern"
1438,1411,0.73111,"Virginia","TX Southern"
1293,1411,0.68309,"Murray St","TX Southern"
1347,1104,0.5084,"Radford","Alabama"
1382,1104,0.92975,"St Bonaventure","Alabama"
1393,1104,0.55807,"Syracuse","Alabama"
1411,1104,0.66271,"TX Southern","Alabama"
1138,1104,0.51218,"Buffalo","Alabama"
1181,1104,0.02941,"Duke","Alabama"
1196,1104,0.87564,"Florida","Alabama"
1211,1104,0.50109,"Gonzaga","Alabama"
1222,1104,0.33253,"Houston","Alabama"
1242,1104,0.03777,"Kansas","Alabama"
1246,1104,0.07123,"Kentucky","Alabama"
1260,1104,0.0835,"Loyola-Chicago","Alabama"
1276,1104,0.42756,"Michigan","Alabama"
1326,1104,0.10586,"Ohio St","Alabama"
1348,1104,0.05942,"Rhode Island","Alabama"
1371,1104,0.29073,"Seton Hall","Alabama"
1397,1104,0.38202,"Tennessee","Alabama"
1403,1104,0.66282,"Texas Tech","Alabama"
1437,1104,0.32579,"Villanova","Alabama"
1120,1104,0.39601,"Auburn","Alabama"
1139,1104,0.36179,"Butler","Alabama"
1153,1104,0.25515,"Cincinnati","Alabama"
1155,1104,0.15962,"Clemson","Alabama"
1199,1104,0.96174,"Florida St","Alabama"
1243,1104,0.36006,"Kansas St","Alabama"
1267,1104,0.4954,"Marshall","Alabama"
1277,1104,0.49006,"Michigan St","Alabama"
1305,1104,0.86826,"Nevada","Alabama"
1314,1104,0.91191,"North Carolina","Alabama"
1345,1104,0.85673,"Purdue","Alabama"
1401,1104,0.54684,"Texas A&M","Alabama"
1420,1104,0.19515,"UMBC","Alabama"
1452,1104,0.53935,"West Virginia","Alabama"
1462,1104,0.99148,"Xavier","Alabama"
1254,1104,0.74252,"Long Island","Alabama"
1417,1104,0.69325,"UCLA","Alabama"
1113,1104,0.40579,"Arizona St","Alabama"
1300,1104,0.02183,"NC Central","Alabama"
1439,1104,0.85838,"Virginia Tech","Alabama"
1112,1104,0.25511,"Arizona","Alabama"
1233,1104,0.11998,"Iona","Alabama"
1422,1104,0.71414,"UNC Greensboro","Alabama"
1361,1104,0.35209,"San Diego St","Alabama"
1335,1104,0.3807,"Penn","Alabama"
1172,1104,0.78135,"Davidson","Alabama"
1274,1104,0.34655,"Miami FL","Alabama"
1285,1104,0.6171,"Montana","Alabama"
1355,1104,0.5976,"S Dakota St","Alabama"
1328,1104,0.31408,"Oklahoma","Alabama"
1301,1104,0.87148,"NC State","Alabama"
1460,1104,0.30667,"Wright St","Alabama"
1372,1104,0.6575,"SF Austin","Alabama"
1158,1104,0.66196,"Col Charleston","Alabama"
1116,1104,0.77585,"Arkansas","Alabama"
1209,1104,0.2183,"Georgia St","Alabama"
1308,1104,0.36438,"New Mexico St","Alabama"
1281,1104,0.73594,"Missouri","Alabama"
1166,1104,0.9972,"Creighton","Alabama"
1455,1104,0.35145,"Wichita St","Alabama"
1137,1104,0.27175,"Bucknell","Alabama"
1400,1104,0.64982,"Texas","Alabama"
1252,1104,0.24902,"Lipscomb","Alabama"
1168,1104,0.36088,"CS Fullerton","Alabama"
1395,1104,0.85156,"TCU","Alabama"
1344,1104,0.87525,"Providence","Alabama"
1438,1104,0.96324,"Virginia","Alabama"
1293,1104,0.49228,"Murray St","Alabama"
1347,1138,0.97625,"Radford","Buffalo"
1382,1138,0.19517,"St Bonaventure","Buffalo"
1393,1138,0.8021,"Syracuse","Buffalo"
1411,1138,0.83184,"TX Southern","Buffalo"
1104,1138,0.76246,"Alabama","Buffalo"
1181,1138,0.35059,"Duke","Buffalo"
1196,1138,0.10341,"Florida","Buffalo"
1211,1138,0.62272,"Gonzaga","Buffalo"
1222,1138,0.17297,"Houston","Buffalo"
1242,1138,0.97726,"Kansas","Buffalo"
1246,1138,0.88897,"Kentucky","Buffalo"
1260,1138,0.74502,"Loyola-Chicago","Buffalo"
1276,1138,0.57773,"Michigan","Buffalo"
1326,1138,0.93469,"Ohio St","Buffalo"
1348,1138,0.85906,"Rhode Island","Buffalo"
1371,1138,0.71076,"Seton Hall","Buffalo"
1397,1138,0.6925,"Tennessee","Buffalo"
1403,1138,0.28262,"Texas Tech","Buffalo"
1437,1138,0.20164,"Villanova","Buffalo"
1120,1138,0.87444,"Auburn","Buffalo"
1139,1138,0.51601,"Butler","Buffalo"
1153,1138,0.75016,"Cincinnati","Buffalo"
1155,1138,0.89767,"Clemson","Buffalo"
1199,1138,0.75666,"Florida St","Buffalo"
1243,1138,0.68062,"Kansas St","Buffalo"
1267,1138,0.87189,"Marshall","Buffalo"
1277,1138,0.31328,"Michigan St","Buffalo"
1305,1138,0.03471,"Nevada","Buffalo"
1314,1138,0.55701,"North Carolina","Buffalo"
1345,1138,0.52417,"Purdue","Buffalo"
1401,1138,0.70307,"Texas A&M","Buffalo"
1420,1138,0.80205,"UMBC","Buffalo"
1452,1138,0.98461,"West Virginia","Buffalo"
1462,1138,0.07081,"Xavier","Buffalo"
1254,1138,0.06471,"Long Island","Buffalo"
1417,1138,0.95239,"UCLA","Buffalo"
1113,1138,0.43152,"Arizona St","Buffalo"
1300,1138,0.05626,"NC Central","Buffalo"
1439,1138,0.34873,"Virginia Tech","Buffalo"
1112,1138,0.06794,"Arizona","Buffalo"
1233,1138,0.49594,"Iona","Buffalo"
1422,1138,0.17075,"UNC Greensboro","Buffalo"
1361,1138,0.32529,"San Diego St","Buffalo"
1335,1138,0.84399,"Penn","Buffalo"
1172,1138,0.45001,"Davidson","Buffalo"
1274,1138,0.86339,"Miami FL","Buffalo"
1285,1138,0.72153,"Montana","Buffalo"
1355,1138,0.1289,"S Dakota St","Buffalo"
1328,1138,0.97226,"Oklahoma","Buffalo"
1301,1138,0.11346,"NC State","Buffalo"
1460,1138,0.34441,"Wright St","Buffalo"
1372,1138,0.20976,"SF Austin","Buffalo"
1158,1138,0.46068,"Col Charleston","Buffalo"
1116,1138,0.64153,"Arkansas","Buffalo"
1209,1138,0.85363,"Georgia St","Buffalo"
1308,1138,0.48257,"New Mexico St","Buffalo"
1281,1138,0.7564,"Missouri","Buffalo"
1166,1138,0.44024,"Creighton","Buffalo"
1455,1138,0.33415,"Wichita St","Buffalo"
1137,1138,0.09062,"Bucknell","Buffalo"
1400,1138,0.45563,"Texas","Buffalo"
1252,1138,0.9768,"Lipscomb","Buffalo"
1168,1138,0.84106,"CS Fullerton","Buffalo"
1395,1138,0.72241,"TCU","Buffalo"
1344,1138,0.32674,"Providence","Buffalo"
1438,1138,0.0114,"Virginia","Buffalo"
1293,1138,0.20712,"Murray St","Buffalo"
1347,1181,0.13637,"Radford","Duke"
1382,1181,0.97348,"St Bonaventure","Duke"
1393,1181,0.73643,"Syracuse","Duke"
1411,1181,0.36554,"TX Southern","Duke"
1104,1181,0.96804,"Alabama","Duke"
1138,1181,0.26105,"Buffalo","Duke"
1196,1181,0.76917,"Florida","Duke"
1211,1181,0.38989,"Gonzaga","Duke"
1222,1181,0.48188,"Houston","Duke"
1242,1181,0.18255,"Kansas","Duke"
1246,1181,0.06463,"Kentucky","Duke"
1260,1181,0.90218,"Loyola-Chicago","Duke"
1276,1181,0.83373,"Michigan","Duke"
1326,1181,0.30035,"Ohio St","Duke"
1348,1181,0.36777,"Rhode Island","Duke"
1371,1181,0.21839,"Seton Hall","Duke"
1397,1181,0.31143,"Tennessee","Duke"
1403,1181,0.68933,"Texas Tech","Duke"
1437,1181,0.82317,"Villanova","Duke"
1120,1181,0.10665,"Auburn","Duke"
1139,1181,0.14226,"Butler","Duke"
1153,1181,0.44821,"Cincinnati","Duke"
1155,1181,0.91478,"Clemson","Duke"
1199,1181,0.30161,"Florida St","Duke"
1243,1181,0.46716,"Kansas St","Duke"
1267,1181,0.53963,"Marshall","Duke"
1277,1181,0.55658,"Michigan St","Duke"
1305,1181,0.94328,"Nevada","Duke"
1314,1181,0.83873,"North Carolina","Duke"
1345,1181,0.01464,"Purdue","Duke"
1401,1181,0.83411,"Texas A&M","Duke"
1420,1181,0.04389,"UMBC","Duke"
1452,1181,0.60101,"West Virginia","Duke"
1462,1181,0.08947,"Xavier","Duke"
1254,1181,0.28953,"Long Island","Duke"
1417,1181,0.10741,"UCLA","Duke"
1113,1181,0.96438,"Arizona St","Duke"
1300,1181,0.84249,"NC Central","Duke"
1439,1181,0.45285,"Virginia Tech","Duke"
1112,1181,0.18532,"Arizona","Duke"
1233,1181,0.59007,"Iona","Duke"
1422,1181,0.70893,"UNC Greensboro","Duke"
1361,1181,0.47695,"San Diego St","Duke"
1335,1181,0.06975,"Penn","Duke"
1172,1181,0.57036,"Davidson","Duke"
1274,1181,0.52886,"Miami FL","Duke"
1285,1181,0.57053,"Montana","Duke"
1355,1181,0.00678,"S Dakota St","Duke"
1328,1181,0.14807,"Oklahoma","Duke"
1301,1181,0.50589,"NC State","Duke"
1460,1181,0.77261,"Wright St","Duke"
1372,1181,0.99754,"SF Austin","Duke"
1158,1181,0.69721,"Col Charleston","Duke"
1116,1181,0.11924,"Arkansas","Duke"
1209,1181,0.78325,"Georgia St","Duke"
1308,1181,0.63941,"New Mexico St","Duke"
1281,1181,0.06203,"Missouri","Duke"
1166,1181,0.82583,"Creighton","Duke"
1455,1181,0.57565,"Wichita St","Duke"
1137,1181,0.77665,"Bucknell","Duke"
1400,1181,0.03454,"Texas","Duke"
1252,1181,0.18042,"Lipscomb","Duke"
1168,1181,0.04114,"CS Fullerton","Duke"
1395,1181,0.96642,"TCU","Duke"
1344,1181,0.47382,"Providence","Duke"
1438,1181,0.35306,"Virginia","Duke"
1293,1181,0.95578,"Murray St","Duke"
1347,1196,0.98598,"Radford","Florida"
1382,1196,0.55333,"St Bonaventure","Florida"
1393,1196,0.24505,"Syracuse","Florida"
1411,1196,0.59234,"TX Southern","Florida"
1104,1196,0.63681,"Alabama","Florida"
1138,1196,0.70996,"Buffalo","Florida"
1181,1196,0.99194,"Duke","Florida"
1211,1196,0.04097,"Gonzaga","Florida"
1222,1196,0.65467,"Houston","Florida"
1242,1196,0.43614,"Kansas","Florida"
1246,1196,0.45314,"Kentucky","Florida"
1260,1196,0.9156,"Loyola-Chicago","Florida"
1276,1196,0.82952,"Michigan","Florida"
1326,1196,0.07348,"Ohio St","Florida"
1348,1196,0.76773,"Rhode Island","Florida"
1371,1196,0.97738,"Seton Hall","Florida"
1397,1196,0.25202,"Tennessee","Florida"
1403,1196,0.8083,"Texas Tech","Florida"
1437,1196,0.4117,"Villanova","Florida"
1120,1196,0.35951,"Auburn","Florida"
1139,1196,0.54891,"Butler","Florida"
1153,1196,0.98507,"Cincinnati","Florida"
1155,1196,0.8031,"Clemson","Florida"
1199,1196,0.41281,"Florida St","Florida"
1243,1196,0.77425,"Kansas St","Florida"
1267,1196,0.44682,"Marshall","Florida"
1277,1196,0.42026,"Michigan St","Florida"
1305,1196,0.03993,"Nevada","Florida"
1314,1196,0.74914,"North Carolina","Florida"
1345,1196,0.89169,"Purdue","Florida"
1401,1196,0.38346,"Texas A&M","Florida"
1420,1196,0.01318,"UMBC","Florida"
1452,1196,0.29401,"West Virginia","Florida"
1462,1196,0.47853,"Xavier","Florida"
1254,1196,0.18049,"Long Island","Florida"
1417,1196,0.05871,"UCLA","Florida"
1113,1196,0.0934,"Arizona St","Florida"
1300,1196,0.94454,"NC Central","Florida"
1439,1196,0.60559,"Virginia Tech","Florida"
1112,1196,0.61909,"Arizona","Florida"
1233,1196,0.55388,"Iona","Florida"
1422,1196,0.35994,"UNC Greensboro","Florida"
1361,1196,0.78189,"San Diego St","Florida"
1335,1196,0.4901,"Penn","Florida"
1172,1196,0.38023,"Davidson","Florida"
1274,1196,0.19881,"Miami FL","Florida"
1285,1196,0.41155,"Montana","Florida"
1355,1196,0.32193,"S Dakota St","Florida"
1328,1196,0.83718,"Oklahoma","Florida"
1301,1196,0.89546,"NC State","Florida"
1460,1196,0.35081,"Wright St","Florida"
1372,1196,0.63735,"SF Austin","Florida"
1158,1196,0.09968,"Col Charleston","Florida"
1116,1196,0.67263,"Arkansas","Florida"
1209,1196,0.29821,"Georgia St","Florida"
1308,1196,0.35448,"New Mexico St","Florida"
1281,1196,0.14715,"Missouri","Florida"
1166,1196,0.5685,"Creighton","Florida"
1455,1196,0.3627,"Wichita St","Florida"
1137,1196,0.43348,"Bucknell","Florida"
1400,1196,0.35477,"Texas","Florida"
1252,1196,0.98275,"Lipscomb","Florida"
1168,1196,0.05564,"CS Fullerton","Florida"
1395,1196,0.92563,"TCU","Florida"
1344,1196,0.25722,"Providence","Florida"
1438,1196,0.07809,"Virginia","Florida"
1293,1196,0.20689,"Murray St","Florida"
1347,1211,0.40046,"Radford","Gonzaga"
1382,1211,0.74163,"St Bonaventure","Gonzaga"
1393,1211,0.93275,"Syracuse","Gonzaga"
1411,1211,0.94704,"TX Southern","Gonzaga"
1104,1211,0.17966,"Alabama","Gonzaga"
1138,1211,0.92453,"Buffalo","Gonzaga"
1181,1211,0.60737,"Duke","Gonzaga"
1196,1211,0.05982,"Florida","Gonzaga"
1222,1211,0.12816,"Houston","Gonzaga"
1242,1211,0.99989,"Kansas","Gonzaga"
1246,1211,0.90916,"Kentucky","Gonzaga"
1260,1211,0.1498,"Loyola-Chicago","Gonzaga"
1276,1211,0.99122,"Michigan","Gonzaga"
1326,1211,0.30387,"Ohio St","Gonzaga"
1348,1211,0.35881,"Rhode Island","Gonzaga"
1371,1211,0.2933,"Seton Hall","Gonzaga"
1397,1211,0.83042,"Tennessee","Gonzaga"
1403,1211,0.02952,"Texas Tech","Gonzaga"
1437,1211,0.54573,"Villanova","Gonzaga"
1120,1211,0.4726,"Auburn","Gonzaga"
1139,1211,0.56291,"Butler","Gonzaga"
1153,1211,0.85665,"Cincinnati","Gonzaga"
1155,1211,0.59262,"Clemson","Gonzaga"
1199,1211,0.76138,"Florida St","Gonzaga"
1243,1211,0.50245,"Kansas St","Gonzaga"
1267,1211,0.77052,"Marshall","Gonzaga"
1277,1211,0.39416,"Michigan St","Gonzaga"
1305,1211,0.46529,"Nevada","Gonzaga"
1314,1211,0.16602,"North Carolina","Gonzaga"
1345,1211,0.92871,"Purdue","Gonzaga"
1401,1211,0.63403,"Texas A&M","Gonzaga"
1420,1211,0.27777,"UMBC","Gonzaga"
1452,1211,0.5363,"West Virginia","Gonzaga"
1462,1211,0.43477,"Xavier","Gonzaga"
1254,1211,0.42803,"Long Island","Gonzaga"
1417,1211,0.0137,"UCLA","Gonzaga"
1113,1211,0.99557,"Arizona St","Gonzaga"
1300,1211,0.15064,"NC Central","Gonzaga"
1439,1211,0.93611,"Virginia Tech","Gonzaga"
1112,1211,0.75494,"Arizona","Gonzaga"
1233,1211,0.71664,"Iona","Gonzaga"
